Email;Nombre;Apellidos;Teléfono;Empresa;Cargo;Ciudad;País
laura.gomez@gmail.com;Laura;Gómez Martín;+34 600123111;;Clienta particular;Alicante;España
javier.ruiz@outlook.com;Javier;Ruiz Sánchez;+34 611234222;;Corredor aficionado;Valencia;España
carmen.lopez@yahoo.es;Carmen;López Torres;+34 622345333;;Entrenadora personal;Madrid;España
daniel.martin@gmail.com;Daniel;Martín Ortega;+34 633456444;;Estudiante universit.;Murcia;España
ana.fernandez@icloud.com;Ana;Fernández Gil;+34 644567555;;Trail runner;Granada;España
sergio.alonso@msn.com;Sergio;Alonso Romero;+34 655678666;;Preparador físico;Sevilla;España
elena.moreno@gmail.com;Elena;Moreno Pérez;+34 666789777;;Profesora de fitness;Zaragoza;España
pablo.diaz@hotmail.com;Pablo;Díaz Navarro;+34 677890888;;Cliente habitual;Bilbao;España
marta.sanchez@gmail.com;Marta;Sánchez Rubio;+34 688901999;;Influencer running;Barcelona;España
alberto.castillo@live.es;Alberto;Castillo Vega;+34 699012000;;Deportista amateur;Málaga;España
